,FIPS,NAME,STATE,longitude,latitude,death
0,1001,Autauga,Alabama,-86.642749235,32.5349201866,438.25877228128974
1,1003,Baldwin,Alabama,-87.7498400784,30.6609696648,474.3329079510854
2,1005,Barbour,Alabama,-85.3931969755,31.8696032448,148.64473150244783
3,1007,Bibb,Alabama,-87.1264391014,32.9986442965,381.3448078727828
4,1009,Blount,Alabama,-86.5673709608,33.9808673856,356.86041654256775
5,1011,Bullock,Alabama,-85.7156972254,32.1005542205,260.2019480820353
6,1013,Butler,Alabama,-86.6802892154,31.7524339429,305.4351825120475
7,1015,Calhoun,Alabama,-85.8260308543,33.7714324565,239.9951886476241
8,1017,Chambers,Alabama,-85.3920429513,32.9143722298,434.7534495214219
9,1019,Cherokee,Alabama,-85.6037937156,34.1759559677,249.76804231947352
10,1021,Chilton,Alabama,-86.718813672,32.847853212,164.2513778843045
11,1023,Choctaw,Alabama,-88.2632012743,32.0196107831,311.11054312604904
12,1025,Clarke,Alabama,-87.8308098507,31.6766595802,502.6508847450554
13,1027,Clay,Alabama,-85.8605470841,33.2690858673,340.6807139786422
14,1029,Cleburne,Alabama,-85.5187680028,33.6745577167,308.48462666230165
15,1031,Coffee,Alabama,-85.9882069262,31.4026271796,490.79642937746837
16,1033,Colbert,Alabama,-87.8049852867,34.7004337984,277.18920638851455
17,1035,Conecuh,Alabama,-86.9936742092,31.4292715445,173.14308185245957
18,1037,Coosa,Alabama,-86.2476592648,32.9362268304,170.81230789704833
19,1039,Covington,Alabama,-86.4512425439,31.2484923988,430.9780357964762
20,1041,Crenshaw,Alabama,-86.3135388959,31.7315001844,402.9461018693946
21,1043,Cullman,Alabama,-86.8676194614,34.1319410705,302.28227544865894
22,1045,Dale,Alabama,-85.6110368183,31.4318270699,264.29802746565133
23,1047,Dallas,Alabama,-87.1064763258,32.325973709,145.90060008711072
24,1049,DeKalb,Alabama,-85.8041426436,34.4597729557,284.0154290443318
25,1051,Elmore,Alabama,-86.1491465307,32.5966480504,510.6831306933806
26,1053,Escambia,Alabama,-87.1616198682,31.1261225461,451.05525462700564
27,1055,Etowah,Alabama,-86.034762324,34.0452544,394.34508799234027
28,1057,Fayette,Alabama,-87.7388619701,33.7212061505,423.5378916215418
29,1059,Franklin,Alabama,-87.8438119782,34.4416706415,471.8325576453895
30,1061,Geneva,Alabama,-85.8389848955,31.095016693,497.68307515107483
31,1063,Greene,Alabama,-87.9522309156,32.8531388427,252.76926946872123
32,1065,Hale,Alabama,-87.6291176816,32.7626642246,506.0813602055312
33,1067,Henry,Alabama,-85.2414063367,31.5146944202,492.0267810252387
34,1069,Houston,Alabama,-85.3025273835,31.1531879718,486.6313298082234
35,1071,Jackson,Alabama,-85.9993005443,34.7794159964,222.55743355838513
36,1073,Jefferson,Alabama,-86.8963982424,33.5543385118,451.1984860839092
37,1075,Lamar,Alabama,-88.0968988585,33.7792058021,292.9734164943941
38,1077,Lauderdale,Alabama,-87.6539980067,34.901372384,307.8860146686487
39,1079,Lawrence,Alabama,-87.311044513,34.5216520166,251.21315621533574
40,1081,Lee,Alabama,-85.355562704,32.6011364841,433.6344090130334
41,1083,Limestone,Alabama,-86.9813747654,34.8100783219,392.09354601049404
42,1085,Lowndes,Alabama,-86.6501076967,32.1547500095,313.1485982269186
43,1087,Macon,Alabama,-85.6926686622,32.3859736952,423.43383569234504
44,1089,Madison,Alabama,-86.5502065185,34.7630897031,186.61879227207532
45,1091,Marengo,Alabama,-87.7895192944,32.2476134122,423.9833273821639
46,1093,Marion,Alabama,-87.8871383639,34.1365496957,424.029570300229
