Name,Postal Code,FIPS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Type
Alabama,AL,1,,,,,4.0
Alaska,AK,2,,,,,7.0
Arizona,AZ,4,,,,,2.0
Arkansas,AR,5,,,,,2.0
California,CA,6,,,,,11.0
Colorado,CO,8,,,,,6.0
Connecticut,CT,9,,,,,0.0
Delaware,DE,10,,,,,0.0
Florida,FL,12,,,,,6.0
Georgia,GA,13,,,,,3.0
Hawaii,HI,15,,,,,5.0
Idaho,ID,16,,,,,1.0
Illinois,IL,17,,,,,1.0
Indiana,IN,18,,,,,0.0
Iowa,IA,19,,,,,0.0
Kansas,KS,20,,,,,1.0
Kentucky,KY,21,,,,,1.0
Louisiana,LA,22,,,,,0.0
Maine,ME,23,,,,,0.0
Maryland,MD,24,,,,,0.0
Massachusetts,MA,25,,,,,1.0
Michigan,MI,26,,,,,0.0
Minnesota,MN,27,,,,,1.0
Mississippi,MS,28,,,,,0.0
Missouri,MO,29,,,,,2.0
Montana,MT,30,,,,,1.0
Nebraska,NE,31,,,,,0.0
Nevada,NV,32,,,,,1.0
New Hampshire,NH,33,,,,,1.0
New Jersey,NJ,34,,,,,0.0
New Mexico,NM,35,,,,,3.0
New York,NY,36,,,,,0.0
North Carolina,NC,37,,,,,2.0
North Dakota,ND,38,,,,,2.0
Ohio,OH,39,,,,,1.0
Oklahoma,OK,40,,,,,0.0
Oregon,OR,41,,,,,4.0
Pennsylvania,PA,42,,,,,3.0
Rhode Island,RI,44,,,,,0.0
South Carolina,SC,45,,,,,1.0
South Dakota,SD,46,,,,,1.0
Tennessee,TN,47,,,,,2.0
Texas,TX,48,,,,,3.0
Utah,UT,49,,,,,4.0
Vermont,VT,50,,,,,0.0
Virginia,VA,51,,,,,1.0
Washington,WA,53,,,,,1.0
West Virginia,WV,54,,,,,2.0
Wisconsin,WI,55,,,,,1.0
Wyoming,WY,56,,,,,5.0
American Samoa,AS,60,,,,,0.0
Guam,GU,66,,,,,0.0
Northern Mariana Islands,MP,69,,,,,0.0
