X,Y,class
104.50263794878000,51.62542946053130,walking
85.57847459435940,43.84145699924130,walking
92.21406014359400,73.92940664890940,walking
111.01468613914500,62.00784329935890,walking
118.86787313827600,49.03289876396620,walking
84.54044048330350,48.2838372529878,walking
97.27165078376010,77.6563700972815,walking
96.48660345219080,50.134992248979600,walking
119.04085066777800,19.346279406463700,walking
82.09359634844120,66.86972317403820,walking
133.57257715931800,58.64007939919130,walking
93.93712090011190,48.7115323832066,walking
126.86153825758500,66.87564051223170,walking
105.18274572057600,47.884530947709700,walking
104.18482741455400,41.848659026250700,walking
118.91088453555700,33.11974575458020,walking
113.72604457269000,49.77697060940020,walking
109.26288827358600,34.45838534140710,walking
84.87698387054430,65.007685101058,walking
92.41642064643260,72.33525785306500,walking
104.79262544486500,56.97673595535050,walking
102.3374540561100,51.99614118846930,walking
89.80003503562950,60.619288780820300,walking
139.28412982910900,47.795094518262000,walking
109.30325881594100,45.50440484302210,walking
109.05548282342600,55.38177030881360,walking
98.39319866254920,61.96339166409570,walking
92.56951846577090,57.87969979779790,walking
100.03141812206900,27.4780765521098,walking
91.550865754827,38.8826112611015,walking
124.5955422580150,57.860434647599400,walking
96.3322473547132,42.84724670331930,walking
94.1860050975706,51.279684526118900,walking
112.14114529264200,35.99941565615200,walking
121.98719524783200,54.28647786509320,walking
122.80059699238800,45.00228270578290,walking
94.2383061400703,57.61482906872700,walking
94.86468894944360,43.22329830202230,walking
105.79516268015100,53.27110952332430,walking
96.84581804683950,50.27382749635040,walking
80.18325928621230,69.0988862671811,walking
98.5640577631945,52.421252591135900,walking
104.84096907113000,42.09285100769860,walking
90.782296821714,56.736735035871500,walking
106.25854983847900,84.84505111087360,walking
115.71867984597300,73.96183020932650,walking
97.43730723461470,49.06791486864490,walking
108.98810619055200,59.58418489567380,walking
96.29895488809730,27.97822546766240,walking
106.61226708027000,46.15213059558820,walking
71.22519927151530,53.23355414376260,walking
85.35149959856520,25.47215937601440,walking
106.66513872883400,24.652734426125300,walking
102.96133661993300,55.11799006555560,walking
98.94259219341980,53.41093897413550,walking
98.7756582727859,55.76650080867040,walking
113.26169335952500,46.0438565584051,walking
90.68275399756640,47.2887528564699,walking
85.1438208938868,58.20545875858810,walking
80.89116238014070,54.05276369852400,walking
75.88363484133750,58.803467102448600,walking
80.8842179392334,46.95152674027890,walking
87.76829537156800,39.41058067452340,walking
103.86170328962000,75.10561080593160,walking
107.9094309136610,59.68527764891040,walking
104.44077186552900,49.21171198037620,walking
100.00614756472400,78.38193830991260,walking
125.63967000663100,52.0370338948987,walking
94.4463157674049,46.847433462796200,walking
