,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,X,Y,class
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.12184049418276,56.02875059112438,class1
1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.83676629910597,62.67900480607,class1
2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,83.22091373379956,43.51661253164723,class1
3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,82.13118172085359,54.53523957370095,class1
4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,72.81686361507502,55.21963928383011,class1
5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,84.91880767218962,60.131645748036235,class1
6,6,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,85.59746902407413,50.92818249668428,class1
7,7,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,82.01523900470353,47.728756196920834,class1
8,8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,89.44559106993626,56.74166117826908,class1
9,9,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,47.06950384069561,30.550133381217567,class1
10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,87.45821067528848,65.9204104932372,class1
11,11,11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,70.55220590172644,51.05127603003164,class1
12,12,12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,70.04257181699161,43.246067948867235,class1
13,13,13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,90.70169702706504,50.94795530108135,class1
14,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,84.75443780659349,58.92762072027187,class1
15,15,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,81.26915593983576,49.272784342455104,class1
16,16,16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,70.94382190166237,66.75810579646623,class1
