,Name,Postal Code,FIPS,Type,Fertility
0,Alabama,AL,1,4.0,5.0
1,Alaska,AK,2,7.0,10.0
2,Arizona,AZ,4,2.0,5.0
3,Arkansas,AR,5,2.0,9.0
4,California,CA,6,11.0,4.0
5,Colorado,CO,8,6.0,9.0
6,Connecticut,CT,9,0.0,2.0
7,Delaware,DE,10,0.0,5.0
8,Florida,FL,12,6.0,1.0
9,Georgia,GA,13,3.0,10.0
10,Hawaii,HI,15,5.0,0.0
11,Idaho,ID,16,1.0,7.0
12,Illinois,IL,17,1.0,9.0
13,Indiana,IN,18,0.0,1.0
14,Iowa,IA,19,0.0,1.0
15,Kansas,KS,20,1.0,1.0
16,Kentucky,KY,21,1.0,2.0
17,Louisiana,LA,22,0.0,9.0
18,Maine,ME,23,0.0,2.0
19,Maryland,MD,24,0.0,0.0
20,Massachusetts,MA,25,1.0,1.0
21,Michigan,MI,26,0.0,10.0
22,Minnesota,MN,27,1.0,2.0
23,Mississippi,MS,28,0.0,9.0
24,Missouri,MO,29,2.0,0.0
25,Montana,MT,30,1.0,5.0
26,Nebraska,NE,31,0.0,0.0
27,Nevada,NV,32,1.0,9.0
28,New Hampshire,NH,33,1.0,7.0
29,New Jersey,NJ,34,0.0,5.0
30,New Mexico,NM,35,3.0,9.0
31,New York,NY,36,0.0,7.0
32,North Carolina,NC,37,2.0,8.0
33,North Dakota,ND,38,2.0,8.0
34,Ohio,OH,39,1.0,1.0
35,Oklahoma,OK,40,0.0,6.0
36,Oregon,OR,41,4.0,6.0
37,Pennsylvania,PA,42,3.0,5.0
38,Rhode Island,RI,44,0.0,10.0
39,South Carolina,SC,45,1.0,3.0
40,South Dakota,SD,46,1.0,10.0
41,Tennessee,TN,47,2.0,0.0
42,Texas,TX,48,3.0,0.0
43,Utah,UT,49,4.0,9.0
44,Vermont,VT,50,0.0,3.0
45,Virginia,VA,51,1.0,9.0
46,Washington,WA,53,1.0,6.0
47,West Virginia,WV,54,2.0,6.0
48,Wisconsin,WI,55,1.0,3.0
49,Wyoming,WY,56,5.0,6.0
50,American Samoa,AS,60,0.0,5.0
51,Guam,GU,66,0.0,8.0
52,Northern Mariana Islands,MP,69,0.0,2.0
