,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIPS,NAME,STATE,longitude,latitude,precipitation
0,0,0,0,0,0,1001,Autauga,Alabama,-86.642749235,32.5349201866,449.7801262673026
1,1,1,1,1,1,1003,Baldwin,Alabama,-87.7498400784,30.6609696648,409.12309577442886
2,2,2,2,2,2,1005,Barbour,Alabama,-85.3931969755,31.8696032448,442.4812742415284
3,3,3,3,3,3,1007,Bibb,Alabama,-87.1264391014,32.9986442965,478.3760839540956
4,4,4,4,4,4,1009,Blount,Alabama,-86.5673709608,33.9808673856,496.8194439147718
5,5,5,5,5,5,1011,Bullock,Alabama,-85.7156972254,32.1005542205,484.6404080819459
6,6,6,6,6,6,1013,Butler,Alabama,-86.6802892154,31.7524339429,435.7364594122503
7,7,7,7,7,7,1015,Calhoun,Alabama,-85.8260308543,33.7714324565,477.2495354081574
8,8,8,8,8,8,1017,Chambers,Alabama,-85.3920429513,32.9143722298,402.01773354947
9,9,9,9,9,9,1019,Cherokee,Alabama,-85.6037937156,34.1759559677,494.2583061417131
10,10,10,10,10,10,1021,Chilton,Alabama,-86.718813672,32.847853212,463.13703394884953
11,11,11,11,11,11,1023,Choctaw,Alabama,-88.2632012743,32.0196107831,419.0127480058386
12,12,12,12,12,12,1025,Clarke,Alabama,-87.8308098507,31.6766595802,479.0382266648646
13,13,13,13,13,13,1027,Clay,Alabama,-85.8605470841,33.2690858673,465.86085211935335
14,14,14,14,14,14,1029,Cleburne,Alabama,-85.5187680028,33.6745577167,490.87383928045733
15,15,15,15,15,15,1031,Coffee,Alabama,-85.9882069262,31.4026271796,490.59029388130546
16,16,16,16,16,16,1033,Colbert,Alabama,-87.8049852867,34.7004337984,421.0542283519934
17,17,17,17,17,17,1035,Conecuh,Alabama,-86.9936742092,31.4292715445,486.37395539303714
18,18,18,18,18,18,1037,Coosa,Alabama,-86.2476592648,32.9362268304,480.09154745180376
19,19,19,19,19,19,1039,Covington,Alabama,-86.4512425439,31.2484923988,436.2625066455949
20,20,20,20,20,20,1041,Crenshaw,Alabama,-86.3135388959,31.7315001844,483.94902248831994
21,21,21,21,21,21,1043,Cullman,Alabama,-86.8676194614,34.1319410705,450.3065613130964
22,22,22,22,22,22,1045,Dale,Alabama,-85.6110368183,31.4318270699,463.55477162783103
23,23,23,23,23,23,1047,Dallas,Alabama,-87.1064763258,32.325973709,433.17204556968704
24,24,24,24,24,24,1049,DeKalb,Alabama,-85.8041426436,34.4597729557,429.6394228940823
25,25,25,25,25,25,1051,Elmore,Alabama,-86.1491465307,32.5966480504,479.0012910172877
26,26,26,26,26,26,1053,Escambia,Alabama,-87.1616198682,31.1261225461,411.7269219929672
27,27,27,27,27,27,1055,Etowah,Alabama,-86.034762324,34.0452544,465.3599070291322
28,28,28,28,28,28,1057,Fayette,Alabama,-87.7388619701,33.7212061505,486.7727250122856
29,29,29,29,29,29,1059,Franklin,Alabama,-87.8438119782,34.4416706415,477.4294102549229
30,30,30,30,30,30,1061,Geneva,Alabama,-85.8389848955,31.095016693,473.8346583044588
31,31,31,31,31,31,1063,Greene,Alabama,-87.9522309156,32.8531388427,448.94216296762994
32,32,32,32,32,32,1065,Hale,Alabama,-87.6291176816,32.7626642246,476.70239399652144
33,33,33,33,33,33,1067,Henry,Alabama,-85.2414063367,31.5146944202,498.8215882546222
34,34,34,34,34,34,1069,Houston,Alabama,-85.3025273835,31.1531879718,436.7323833310235
35,35,35,35,35,35,1071,Jackson,Alabama,-85.9993005443,34.7794159964,421.893653555914
36,36,36,36,36,36,1073,Jefferson,Alabama,-86.8963982424,33.5543385118,471.50844104268015
37,37,37,37,37,37,1075,Lamar,Alabama,-88.0968988585,33.7792058021,411.2398220128034
38,38,38,38,38,38,1077,Lauderdale,Alabama,-87.6539980067,34.901372384,441.36678231279217
39,39,39,39,39,39,1079,Lawrence,Alabama,-87.311044513,34.5216520166,428.58407814609933
40,40,40,40,40,40,1081,Lee,Alabama,-85.355562704,32.6011364841,409.9530809763972
41,41,41,41,41,41,1083,Limestone,Alabama,-86.9813747654,34.8100783219,468.8889617699678
42,42,42,42,42,42,1085,Lowndes,Alabama,-86.6501076967,32.1547500095,470.94343868360613
43,43,43,43,43,43,1087,Macon,Alabama,-85.6926686622,32.3859736952,441.98875867808516
44,44,44,44,44,44,1089,Madison,Alabama,-86.5502065185,34.7630897031,452.1333876009995
45,45,45,45,45,45,1091,Marengo,Alabama,-87.7895192944,32.2476134122,450.87187158177994
46,46,46,46,46,46,1093,Marion,Alabama,-87.8871383639,34.1365496957,408.8418757610771
47,47,47,47,47,47,1095,Marshall,Alabama,-86.306636969,34.3669621021,447.3430430721866
48,48,48,48,48,48,1097,Mobile,Alabama,-88.1975233535,30.6851516211,423.13897491867135
49,49,49,49,49,49,1099,Monroe,Alabama,-87.3654375115,31.5708340246,402.9439244084292
50,50,50,50,50,50,1101,Montgomery,Alabama,-86.2076142923,32.2202579876,402.3002561580116
51,51,51,51,51,51,1103,Morgan,Alabama,-86.8529215684,34.453472028,408.3667299301553
52,52,52,52,52,52,1105,Perry,Alabama,-87.2944007854,32.6384656558,479.52432991232376
53,53,53,53,53,53,1107,Pickens,Alabama,-88.0886925942,33.2808768859,438.13181948120194
54,54,54,54,54,54,1109,Pike,Alabama,-85.9409081483,31.8027084904,433.7898489309405
55,55,55,55,55,55,1111,Randolph,Alabama,-85.4590701568,33.2937873448,473.72564003963737
56,56,56,56,56,56,1113,Russell,Alabama,-85.1849624464,32.2883800156,434.8355047333673
57,57,57,57,57,57,1115,St.,Alabama,,,154.1919330677818
58,58,58,58,58,58,1117,Shelby,Alabama,-86.6606484037,33.2642770248,410.96332876520614
59,59,59,59,59,59,1119,Sumter,Alabama,-88.1987896089,32.5910175308,456.060586105153
60,60,60,60,60,60,1121,Talladega,Alabama,-86.1659036872,33.3800616097,481.88217071800227
61,61,61,61,61,61,1123,Tallapoosa,Alabama,-85.7975022448,32.8624049426,460.90561214773084
62,62,62,62,62,62,1125,Tuscaloosa,Alabama,-87.525029952,33.2895498464,464.35616890246314
63,63,63,63,63,63,1127,Walker,Alabama,-87.2973573971,33.8033347429,463.3091859468357
64,64,64,64,64,64,1129,Washington,Alabama,-88.2078768076,31.4076037932,407.12161047008374
65,65,65,65,65,65,1131,Wilcox,Alabama,-87.3082017869,31.9892401922,438.14124665204486
66,66,66,66,66,66,1133,Winston,Alabama,-87.3736834128,34.1492251125,413.68150513436444
67,67,67,67,67,67,2013,Aleutians,Alaska,,,125.44540554667932
68,68,68,68,68,68,2016,Aleutians,Alaska,,,188.4258679194706
69,69,69,69,69,69,2020,"Anchorage,",Alaska,,,125.28156576445906
70,70,70,70,70,70,2050,Bethel,Alaska,-160.195267975,60.8490903436,478.8668000864671
71,71,71,71,71,71,2060,Bristol,Alaska,,,109.38500783481558
72,72,72,72,72,72,2068,Denali,Alaska,-150.011714676,63.6716419513,429.10339803317
73,73,73,73,73,73,2070,Dillingham,Alaska,-158.348270189,59.7139951133,489.5237504011618
74,74,74,74,74,74,2090,Fairbanks,Alaska,,,143.4855283732906
75,75,75,75,75,75,2100,Haines,Alaska,-135.470092205,59.0758951471,404.8573127555187
76,76,76,76,76,76,2105,Hoonah–Angoon,Alaska,,,174.8553545467974
77,77,77,77,77,77,2110,"Juneau,",Alaska,,,172.51700891946226
78,78,78,78,78,78,2122,Kenai,Alaska,,,168.86218279442338
79,79,79,79,79,79,2130,Ketchikan,Alaska,,,144.27995694118158
80,80,80,80,80,80,2150,Kodiak,Alaska,,,103.60038937169908
81,81,81,81,81,81,2158,Kusilvak,Alaska,-163.525464784,62.160012711,473.08380909261075
82,82,82,82,82,82,2164,Lake,Alaska,,,106.22647203015909
83,83,83,83,83,83,2170,Matanuska-Susitna,Alaska,-149.580200458,62.3046703274,478.8357556827943
84,84,84,84,84,84,2180,Nome,Alaska,-164.244322616,64.8354505226,491.28786148684856
85,85,85,85,85,85,2185,North,Alaska,,,133.0389273503019
86,86,86,86,86,86,2188,Northwest,Alaska,,,132.77892139120627
87,87,87,87,87,87,2195,Petersburg,Alaska,-133.002459292,57.1140130761,440.9548841131999
88,88,88,88,88,88,2198,Prince,Alaska,,,126.7747942591096
89,89,89,89,89,89,2220,"Sitka,",Alaska,,,103.43893328579708
