,Unnamed: 0.1,Unnamed: 0,Country,Year,Percentage
0,0,0,Japan,1980,95.3829269507196
1,1,1,Japan,1981,94.806573343272
2,2,2,Japan,1982,94.611667267365
3,3,3,Japan,1983,94.6478194919451
4,4,4,Japan,1984,95.0849223241451
5,5,5,Japan,1985,94.6583378980169
6,6,6,Japan,1986,94.242349593161
7,7,7,Japan,1987,94.6738052867228
8,8,8,Japan,1988,94.5532233098408
9,9,9,Japan,1989,94.7064224871561
10,10,10,Japan,1990,94.7879386944809
11,11,11,Japan,1991,93.9048444154881
12,12,12,Japan,1992,94.2027377228149
13,13,13,Japan,1993,93.8764719300622
14,14,14,Japan,1994,94.4758099495462
15,15,15,Japan,1995,94.3155932557762
16,16,16,Japan,1996,94.254553092502
17,17,17,Japan,1997,94.1155145733041
18,18,18,Japan,1998,94.647223521755
19,19,19,Japan,1999,94.0677170532661
20,20,20,Japan,2000,93.9122895421662
21,21,21,Japan,2001,93.5692093145982
22,22,22,Japan,2002,94.2409375485308
23,23,23,Japan,2003,94.3806891800034
24,24,24,Japan,2004,94.2217838116276
25,25,25,Japan,2005,93.7696492327438
26,26,26,Japan,2006,93.9960713047046
27,27,27,Japan,2007,93.5274213869778
28,28,28,Japan,2008,93.4489026183106
29,29,29,Japan,2009,93.5760316813557
30,30,30,Japan,2010,93.3121697523586
31,31,31,Japan,2011,94.0393151910349
32,32,32,Japan,2012,93.9432694251229
33,33,33,Japan,2013,92.9404531815642
34,34,34,Japan,2014,93.6419925093365
35,35,35,Japan,2015,93.0336469827151
36,36,36,Japan,2016,92.6793786004732
37,37,37,Japan,2017,93.002691686407
38,38,38,Japan,2018,93.4130043987595
39,39,39,Japan,2019,93.3230055280523
40,40,40,Japan,2020,92.7460956349569
41,41,41,France,1980,92.5864165738024
42,42,42,France,1981,92.6963394990791
43,43,43,France,1982,91.9096527055147
44,44,44,France,1983,91.0651495274795
45,45,45,France,1984,92.2890472367334
46,46,46,France,1985,92.3813768098943
47,47,47,France,1986,91.3129713872176
48,48,48,France,1987,91.8008349136776
49,49,49,France,1988,91.5061747612209
50,50,50,France,1989,90.9492029952636
51,51,51,France,1990,91.5440308665555
52,52,52,France,1991,91.0261989561125
53,53,53,France,1992,90.4260617949492
54,54,54,France,1993,90.892292633618
55,55,55,France,1994,91.4248273703011
56,56,56,France,1995,90.4483496036663
57,57,57,France,1996,91.248248741636
58,58,58,France,1997,91.3342527691798
59,59,59,France,1998,90.705303910536
60,60,60,France,1999,91.350277802285
61,61,61,France,2000,90.0083614419191
62,62,62,France,2001,90.1537896712633
63,63,63,France,2002,90.3035607793964
64,64,64,France,2003,91.1231783283135
65,65,65,France,2004,89.9065625766001
66,66,66,France,2005,90.6430359247476
67,67,67,France,2006,89.6285732129258
68,68,68,France,2007,90.4898788749
69,69,69,France,2008,90.6726112269336
70,70,70,France,2009,89.2600876318801
71,71,71,France,2010,89.6013100681143
72,72,72,France,2011,90.3044692832062
73,73,73,France,2012,88.9741930963604
74,74,74,France,2013,90.4805480462699
75,75,75,France,2014,90.3900053520293
76,76,76,France,2015,89.6546269283234
77,77,77,France,2016,89.2428406941518
78,78,78,France,2017,88.6628931712794
79,79,79,France,2018,88.5897195607897
80,80,80,France,2019,88.8469441491558
81,81,81,France,2020,89.2779449893022
82,82,82,Britain,1980,90.9097350512573
83,83,83,Britain,1981,90.1704397660534
84,84,84,Britain,1982,90.0236071558806
85,85,85,Britain,1983,90.7286543793133
86,86,86,Britain,1984,91.5345217665373
87,87,87,Britain,1985,90.0825919581923
88,88,88,Britain,1986,90.7176557372637
89,89,89,Britain,1987,90.608944897873
90,90,90,Britain,1988,90.5560249154682
91,91,91,Britain,1989,90.0126023875824
92,92,92,Britain,1990,90.7409967268332
93,93,93,Britain,1991,90.853265987605
94,94,94,Britain,1992,90.180223097733
95,95,95,Britain,1993,90.6422641204059
96,96,96,Britain,1994,90.764497153579
97,97,97,Britain,1995,90.7467051178409
98,98,98,Britain,1996,89.9391729264785
99,99,99,Britain,1997,89.2915841199244
100,100,100,Britain,1998,89.1920013989903
101,101,101,Britain,1999,90.4888534562331
102,102,102,Britain,2000,90.4368733513042
103,103,103,Britain,2001,90.5686503401774
104,104,104,Britain,2002,89.8908035560573
105,105,105,Britain,2003,89.2378361580172
106,106,106,Britain,2004,89.8911865865458
107,107,107,Britain,2005,89.0031887693194
108,108,108,Britain,2006,90.0738241151957
109,109,109,Britain,2007,89.930166711799
110,110,110,Britain,2008,89.4894383686993
111,111,111,Britain,2009,88.7047554653744
112,112,112,Britain,2010,88.7443512050641
113,113,113,Britain,2011,88.3774980007122
114,114,114,Britain,2012,88.2884610528401
115,115,115,Britain,2013,89.0124442783884
116,116,116,Britain,2014,88.814543819017
117,117,117,Britain,2015,88.5829613281047
118,118,118,Britain,2016,89.7223590544958
119,119,119,Britain,2017,89.3062604695879
120,120,120,Britain,2018,88.8809333283461
121,121,121,Britain,2019,89.3238835529376
122,122,122,Britain,2020,89.315243746008
123,123,123,Germany,1980,88.8254216750358
