FIPS,Name,State,precipitation
1001,Autauga,AL,82.06384352317280
1003,Baldwin,AL,67.35421693936120
1005,Barbour,AL,92.2916360678916
1007,Bibb,AL,155.3108782831860
1009,Blount,AL,97.48840237716730
1011,Bullock,AL,37.96624045207520
1013,Butler,AL,56.11683719952370
1015,Calhoun,AL,68.7992608821915
1017,Chambers,AL,59.58838158547890
1019,Cherokee,AL,175.63631250386700
1021,Chilton,AL,127.25172642925900
1023,Choctaw,AL,59.2535294242348
1025,Clarke,AL,170.23363989204200
1027,Clay,AL,49.78161938406210
1029,Cleburne,AL,63.0806170842738
1031,Coffee,AL,95.48205827184580
1033,Colbert,AL,106.81158395973300
1035,Conecuh,AL,158.79694000180800
1037,Coosa,AL,85.38774201449460
1039,Covington,AL,178.74691772245800
1041,Crenshaw,AL,59.95557487930010
1043,Cullman,AL,88.12860448350400
1045,Dale,AL,34.92270299619370
1047,Dallas,AL,113.3276462164000
1049,De Kalb,AL,104.02496718814800
1051,Elmore,AL,52.7120671682631
1053,Escambia,AL,23.79746219090150
1055,Etowah,AL,75.45620378421510
1057,Fayette,AL,37.00217337525430
1059,Franklin,AL,62.166789168383300
1061,Geneva,AL,38.35233980900420
1063,Greene,AL,86.07806374107870
1065,Hale,AL,36.68960415079700
1067,Henry,AL,94.79661776022450
1069,Houston,AL,112.65685162133000
1071,Jackson,AL,33.4277808075762
1073,Jefferson,AL,96.32515905161290
1075,Lamar,AL,72.38933668114400
1077,Lauderdale,AL,164.80757519148000
1079,Lawrence,AL,57.9287585729365
1081,Lee,AL,126.33443300112200
1083,Limestone,AL,121.45468614695300
1085,Lowndes,AL,152.56921214709900
1087,Macon,AL,64.6300285756046
1089,Madison,AL,66.49799101368190
1091,Marengo,AL,94.5744180746361
1093,Marion,AL,105.59664042952400
1095,Marshall,AL,64.86933206014340
1097,Mobile,AL,5.816203090374480
1099,Monroe,AL,37.11415938613970
1101,Montgomery,AL,97.09054650159330
1103,Morgan,AL,40.19171229612140
1105,Perry,AL,94.47483428635600
1107,Pickens,AL,75.17427717838760
1109,Pike,AL,39.18893192952140
1111,Randolph,AL,39.92836497391340
1113,Russell,AL,102.71577352073300
1115,St Clair,AL,80.97073989784300
1117,Shelby,AL,75.08058575447070
1119,Sumter,AL,53.699843212369000
1121,Talladega,AL,80.93401886368880
1123,Tallapoosa,AL,87.8729750851466
1125,Tuscaloosa,AL,96.9901062038939
1127,Walker,AL,151.3187351566110
1129,Washington,AL,54.41698121290190
1131,Wilcox,AL,51.369837398203300
1133,Winston,AL,42.59171066307950
2013,Aleutians East,AK,84.32589184247040
2016,Aleutians West,AK,86.93130020393930
2020,Anchorage,AK,33.93109647671360
2050,Bethel,AK,98.86064577889290
2060,Bristol Bay,AK,38.87195766182920
2068,Denali,AK,82.7467594249705
2070,Dillingham,AK,59.67449085986320
2090,Fairbanks North Star,AK,83.20238931368290
2100,Haines,AK,48.534343095462600
2110,Juneau,AK,62.065607529817600
2122,Kenai Peninsula,AK,75.78266220342110
2130,Ketchikan Gateway,AK,95.10700541714360
2150,Kodiak Island,AK,32.08672279272210
2164,Lake and Peninsula,AK,178.38885736405100
2170,Matanuska-Susitna,AK,98.51722509935440
2180,Nome,AK,40.9332048951478
2185,North Slope,AK,32.616409739306300
2188,Northwest Arctic,AK,80.9113647156516
2201,Prince of Wales-Outer Ketchikan,AK,33.96600345177990
2220,Sitka,AK,37.44253389020220
2232,Skagway-Hoonah-Angoon,AK,73.36492348339440
2240,Southeast Fairbanks,AK,89.8438771244941
2261,Valdez-Cordova,AK,97.25898555978170
2270,Wade Hampton,AK,83.90384994220760
2280,Wrangell-Petersburg,AK,78.06165999452770
2282,Yakutat,AK,81.21726544074490
2290,Yukon-Koyukuk,AK,49.92878227295880
4001,Apache,AZ,192.09032855677500
4003,Cochise,AZ,47.39305830067000
4005,Coconino,AZ,59.54688970489080
4007,Gila,AZ,64.84696881057370
4009,Graham,AZ,90.23874990457650
4011,Greenlee,AZ,52.79779087378230
4012,La Paz,AZ,191.7148090733360
4013,Maricopa,AZ,71.49607753356100
4015,Mohave,AZ,50.50241755069750
4017,Navajo,AZ,128.85674473685500
4019,Pima,AZ,70.51855095599880
4021,Pinal,AZ,127.03595807094700
4023,Santa Cruz,AZ,97.44626638356160
4025,Yavapai,AZ,92.8853514785086
4027,Yuma,AZ,134.6934206730570
5001,Arkansas,AR,73.15279625725980
5003,Ashley,AR,49.644298115593800
5005,Baxter,AR,71.55911059304840
5007,Benton,AR,128.3975949556080
5009,Boone,AR,75.73800449541000
5011,Bradley,AR,73.46578996406680
5013,Calhoun,AR,60.29923878165400
5015,Carroll,AR,72.51876604687030
5017,Chicot,AR,52.196845612333300
5019,Clark,AR,90.13672232295090
5021,Clay,AR,46.12316119051160
5023,Cleburne,AR,79.78362132755450
5025,Cleveland,AR,98.59464560344910
5027,Columbia,AR,36.07134626265260
5029,Conway,AR,32.60480631362570
5031,Craighead,AR,70.3315613763235
5033,Crawford,AR,78.47246737426500
5035,Crittenden,AR,40.80941994788630
5037,Cross,AR,93.18823125730780
5039,Dallas,AR,82.72105183503350
5041,Desha,AR,61.60714069860460
5043,Drew,AR,137.32313245191100
5045,Faulkner,AR,59.3208214742738
5047,Franklin,AR,168.99730445451200
5049,Fulton,AR,93.18936298962040
5051,Garland,AR,88.92660815069100
5053,Grant,AR,71.87940783117150
5055,Greene,AR,82.68336353278450
5057,Hempstead,AR,102.59195344247400
5059,Hot Spring,AR,151.9879790563
5061,Howard,AR,129.0373999889640
5063,Independence,AR,197.44130271463700
5065,Izard,AR,48.06994630278460
5067,Jackson,AR,128.7597005840970
5069,Jefferson,AR,87.72961132181930
5071,Johnson,AR,70.1102911206283
5073,Lafayette,AR,37.441187622176300
5075,Lawrence,AR,84.60316067943030
5077,Lee,AR,153.91601191187900
5079,Lincoln,AR,72.60972296806610
5081,Little River,AR,54.48600871911130
5083,Logan,AR,66.27537655486850
5085,Lonoke,AR,97.4516760190044
5087,Madison,AR,170.70697736108300
5089,Marion,AR,184.11093617081400
5091,Miller,AR,45.34239842697660
5093,Mississippi,AR,145.2911714258270
5095,Monroe,AR,93.19617032447250
5097,Montgomery,AR,73.79969193860980
5099,Nevada,AR,97.80698558816860
5101,Newton,AR,73.77380881751210
5103,Ouachita,AR,90.53382394531030
5105,Perry,AR,180.1800410651920
5107,Phillips,AR,82.45608896149150
5109,Pike,AR,78.45200228423780
5111,Poinsett,AR,188.35157815129800
5113,Polk,AR,125.99366021235400
5115,Pope,AR,48.35500763909440
5117,Prairie,AR,80.38949398185020
5119,Pulaski,AR,39.101057338778000
5121,Randolph,AR,88.72495718000270
5123,St Francis,AR,29.036262612518800
