price,odometer,age
16990.0,16930.0,3.0
3700.0,142000.0,17.0
11975.0,207000.0,18.0
21950.0,202537.0,18.0
27590.0,20420.0,3.0
21990.0,7233.0,3.0
22590.0,33826.0,3.0
29990.0,30244.0,2.0
15590.0,60291.0,6.0
24990.0,24116.0,3.0
56995.0,2498.0,1.0
3975.0,187000.0,15.0
8000.0,61000.0,49.0
32500.0,177313.0,34.0
13999.0,115012.0,11.0
5995.0,52396.0,10.0
7995.0,102161.0,8.0
11995.0,102457.0,6.0
17995.0,33603.0,3.0
12995.0,80410.0,9.0
23990.0,39664.0,8.0
29990.0,17302.0,5.0
25500.0,29500.0,7.0
9600.0,307000.0,22.0
8400.0,179000.0,16.0
25590.0,33640.0,3.0
16990.0,67448.0,8.0
97995.0,1010.0,2.0
11200.0,44000.0,7.0
7000.0,280000.0,16.0
36950.0,121349.0,14.0
31950.0,98740.0,15.0
36950.0,97602.0,3.0
9000.0,10.0,40.0
15000.0,47000.0,11.0
2600.0,180000.0,21.0
41995.0,40672.0,6.0
42995.0,70348.0,6.0
42995.0,65676.0,5.0
61995.0,13962.0,1.0
45995.0,97379.0,9.0
5500.0,130000.0,16.0
5975.0,149000.0,10.0
37999.0,38000.0,5.0
6600.0,127472.0,13.0
6975.0,100981.0,15.0
5700.0,105500.0,17.0
6900.0,104000.0,15.0
41995.0,950.0,0.0
37990.0,100104.0,4.0
1000.0,2000.0,23.0
41992.0,90386.0,9.0
10495.0,104716.0,11.0
45995.0,41217.0,5.0
20590.0,19900.0,2.0
39590.0,21521.0,2.0
35495.0,164637.0,9.0
35990.0,9508.0,2.0
6000.0,90000.0,8.0
26590.0,41714.0,3.0
61990.0,81419.0,3.0
8997.0,164000.0,10.0
37990.0,37309.0,3.0
25590.0,11602.0,1.0
28990.0,6334.0,3.0
63990.0,48488.0,2.0
43988.0,32638.0,2.0
79995.0,2268.0,3.0
34500.0,97000.0,14.0
15590.0,53066.0,5.0
45995.0,28911.0,4.0
33990.0,7577.0,1.0
14995.0,115500.0,8.0
62990.0,69578.0,4.0
34990.0,42468.0,5.0
37990.0,32878.0,4.0
