,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,X,Y,class
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.26917333993193,53.468168382831095,class1
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94.90523784753888,77.832907123128,class1
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.79711767880552,111.05227971232844,class1
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,58.07714872152687,53.32901682622786,class1
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,56.10711584767475,46.77987931382684,class1
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,80.1607017560966,39.9715098759621,class1
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,83.9925616571551,71.62751334616472,class1
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,75.01040601329805,80.76258534041244,class1
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,115.07074168480537,43.98357232406838,class1
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,35.64116892360796,26.94778330838075,class1
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,92.93257226840522,94.47502774261886,class1
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.190402681826022,11.233719192722916,class1
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,77.92437404002327,85.21916911492784,class1
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,41.58611603146689,81.16312052833277,class1
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,77.07592159156262,82.24896453393569,class1
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.170972654693465,87.8626538426537,class1
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,64.05922471027742,62.76829371678258,class1
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,92.48173791483327,39.20387558209825,class1
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,110.81312710733216,20.441172796969354,class1
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,107.07298878188655,82.97783403194624,class1
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,96.7155619838716,85.89129466169365,class1
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,80.4790907846089,69.62610454665501,class1
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,95.07180640690379,32.93029949338113,class1
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,74.4624867777233,16.93000895774334,class1
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,81.07456892250441,104.28901038999956,class1
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,53.52909885950464,62.491564925836016,class1
26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,70.23198001448267,74.5829900376194,class1
27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,116.95899102425233,43.385547517816,class1
28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,86.60010329820733,61.56136477295208,class1
29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,55.50771996046036,53.36222955760602,class1
30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,94.4151149021057,114.34028952413317,class1
31,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,92.05218858061099,56.69704743754575,class1
32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,30.952259985817804,59.203595362316854,class1
33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,105.71101553264415,21.73434457077022,class1
34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,56.83751220205686,84.47440169514472,class1
35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,65.88472786435648,125.35070198810396,class1
36,36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,127.41370902650787,59.57566492749542,class1
37,37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,103.5846786560688,43.19000674782052,class1
38,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,85.62299190991854,71.96624883445025,class1
39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,58.422446491623475,77.43899345042645,class1
40,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,102.52303334057014,68.99340930620642,class1
41,41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,35.28756088338371,122.28505343019563,class1
42,42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,52.75187956647265,86.296639700462,class1
43,43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,55.34273087427595,43.344537853011495,class1
44,44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,54.137494128887575,48.652808686959936,class1
45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,87.33261353278832,70.34190700865807,class1
46,46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,64.98466606561054,87.0839849677783,class1
47,47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,109.30876603521949,85.03786058934125,class1
48,48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,99.60656965080379,94.70760052752166,class1
49,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,59.42439676702497,53.11437572383155,class1
50,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,41.94264519948229,72.91137911415748,class1
51,51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,143.74371134334896,49.628891101016116,class1
52,52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,96.18907335092146,99.3143148047886,class1
53,53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,151.30415095261105,70.959636513057,class1
54,54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,64.36112821690341,87.81341036793953,class1
55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,32.68616565205602,15.180874375747088,class1
56,56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,62.290638252134585,89.20863230423696,class1
57,57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.08892326666458,40.10735310764625,class1
58,58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.92445020206183,100.49830773432859,class1
59,59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,115.80802062972826,38.36371151014528,class1
60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,45.42405125819993,45.803449827190576,class1
61,61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,53.286434128324075,128.153940933569,class1
62,62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,40.64783085669485,77.70327447988603,class1
63,63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,111.17160114128542,29.497918609672233,class1
64,64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,72.69132720121037,47.67775019232735,class1
65,65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,102.98278736860414,93.37602002251218,class1
66,66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,30.55727766894821,54.52696433409723,class1
67,67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.14434952548837,108.43125718546762,class1
68,68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,72.29075444076217,129.7232977149991,class1
69,69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,126.69323248286392,78.91588537803715,class1
70,70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,83.55922393383376,60.11930216331946,class1
71,71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,96.76072909207058,81.57750214234497,class1
72,72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,42.29785640361204,144.85221643610134,class1
73,73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,61.76682682784805,81.93010115300534,class1
74,74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,123.52945786928217,86.4736666897592,class1
75,75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,77.14167407414352,89.50246621417008,class1
76,76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,44.454212958744094,33.39968759309007,class1
77,77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,62.448678470394825,45.13463230761643,class1
78,78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,55.125264708468826,32.88427269199349,class1
79,79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,133.67082508876587,55.70361284409309,class1
80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,91.25459889656685,82.52673824782913,class1
81,81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,83.23959817113746,94.30829893237453,class1
82,82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,18.285891930669884,51.387736493677664,class1
83,83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,22.560373233184116,70.91771854887762,class1
84,84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,97.58493464152431,56.76392158609424,class1
85,85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,25.422964857537863,59.81548893710951,class1
86,86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,109.8721956288208,49.900435760683735,class1
87,87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,109.6116011598876,134.26785773574377,class1
88,88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,66.09034184629428,64.14445794937241,class1
89,89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,63.071838890333574,133.68538355019166,class1
90,90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,84.42370620392825,52.6437833874263,class1
91,91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,49.66572215068763,87.10477899524516,class1
92,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,110.78344203040328,20.010048930941203,class1
