,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,iata,name,city,state,country,latitude,longitude,death
0,0,0,0,0,00M,Thigpen,Bay Springs,MS,USA,0.0,0.0,0.0
1,1,1,1,1,00R,Livingston Municipal,Livingston,TX,USA,0.0,0.0,0.0
2,2,2,2,2,00V,Meadow Lake,Colorado Springs,CO,USA,0.0,0.0,23.0
3,3,3,3,3,01G,Perry-Warsaw,Perry,NY,USA,42.74134667,-78.05208056,0.0
4,4,4,4,4,01J,Hilliard Airpark,Hilliard,FL,USA,0.0,0.0,0.0
5,5,5,5,5,01M,Tishomingo County,Belmont,MS,USA,0.0,0.0,0.0
6,6,6,6,6,02A,Gragg-Wade,Clanton,AL,USA,0.0,0.0,0.0
7,7,7,7,7,02C,Capitol,Brookfield,WI,USA,0.0,0.0,0.0
8,8,8,8,8,02G,Columbiana County,East Liverpool,OH,USA,0.0,0.0,0.0
9,9,9,9,9,03D,Memphis Memorial,Memphis,MO,USA,40.44725889,-92.22696056,0.0
10,10,10,10,10,04M,Calhoun County,Pittsboro,MS,USA,33.93011222,-89.34285194,0.0
11,11,11,11,11,04Y,Hawley Municipal,Hawley,MN,USA,0.0,0.0,0.0
12,12,12,12,12,05C,Griffith-Merrillville,Griffith,IN,USA,41.51961917,-87.40109333,0.0
13,13,13,13,13,05F,Gatesville - City/County,Gatesville,TX,USA,0.0,0.0,0.0
14,14,14,14,14,05U,Eureka,Eureka,NV,USA,39.60416667,-116.0050597,0.0
15,15,15,15,15,06A,Moton  Municipal,Tuskegee,AL,USA,0.0,0.0,0.0
16,16,16,16,16,06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278,0.0
17,17,17,17,17,06D,Rolla Municipal,Rolla,ND,USA,48.88434111,-99.62087694,0.0
18,18,18,18,18,06M,Eupora Municipal,Eupora,MS,USA,0.0,0.0,0.0
19,19,19,19,19,06N,Randall,Middletown,NY,USA,41.43156583,-74.39191722,0.0
20,20,20,20,20,06U,Jackpot/Hayden,Jackpot,NV,USA,41.97602222,-114.6580911,0.0
21,21,21,21,21,07C,Dekalb County,Auburn,IN,USA,0.0,0.0,0.0
22,22,22,22,22,07F,Gladewater Municipal,Gladewater,TX,USA,0.0,0.0,0.0
23,23,23,23,23,07G,Fitch H Beach,Charlotte,MI,USA,42.57450861,-84.81143139,0.0
24,24,24,24,24,07K,Central City Municipal,Central City,NE,USA,41.11668056,-98.05033639,39.0
25,25,25,25,25,08A,Wetumpka Municipal,Wetumpka,AL,USA,0.0,0.0,0.0
26,26,26,26,26,08D,Stanley Municipal,Stanley,ND,USA,48.30079861,-102.4063514,0.0
27,27,27,27,27,08K,Harvard State,Harvard,NE,USA,0.0,0.0,22.0
28,28,28,28,28,08M,Carthage-Leake County,Carthage,MS,USA,0.0,0.0,0.0
29,29,29,29,29,09A,Butler-Choctaw County,Butler,AL,USA,0.0,0.0,0.0
30,30,30,30,30,09J,Jekyll Island,Jekyll Island,GA,USA,0.0,0.0,0.0
31,31,31,31,31,09K,Sargent Municipal,Sargent,NE,USA,0.0,0.0,23.0
32,32,32,32,32,09M,Charleston Municipal,Charleston,MS,USA,0.0,0.0,0.0
33,33,33,33,33,09W,South Capitol Street,Washington,DC,USA,0.0,0.0,0.0
34,34,34,34,34,0A3,Smithville Municipal,Smithville,TN,USA,35.98531194,-85.80931806,0.0
35,35,35,35,35,0A8,Bibb County,Centreville,AL,USA,0.0,0.0,0.0
36,36,36,36,36,0A9,Elizabethton Municipal,Elizabethton,TN,USA,0.0,0.0,0.0
37,37,37,37,37,0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358,0.0
38,38,38,38,38,0B1,Col. Dyke,Bethel,ME,USA,44.42506444,-70.80784778,0.0
39,39,39,39,39,0B4,Hartington Municipal,Hartington,NE,USA,0.0,0.0,41.0
40,40,40,40,40,0B5,Turners Falls,Montague,MA,USA,42.59136361,-72.52275472,0.0
41,41,41,41,41,0B7,Warren-Sugar Bush,Warren,VT,USA,44.11672722,-72.82705806,0.0
42,42,42,42,42,0B8,Elizabeth,Fishers Island,NY,USA,41.25130806,-72.03161139,0.0
43,43,43,43,43,0C0,Dacy,Chicago/Harvard,IL,USA,0.0,0.0,0.0
44,44,44,44,44,0C4,Pender Municipal,Pender,NE,USA,0.0,0.0,20.0
45,45,45,45,45,0D1,South Haven Municipal,South Haven,MI,USA,0.0,0.0,0.0
46,46,46,46,46,0D8,Gettysburg Municipal,Gettysburg,SD,USA,44.98730556,-99.9535,0.0
47,47,47,47,47,0E0,Moriarty,Moriarty,NM,USA,0.0,0.0,0.0
48,48,48,48,48,0E8,Crownpoint,Crownpoint,NM,USA,35.71765889,-108.2015961,0.0
49,49,49,49,49,0F2,Bowie Municipal,Bowie,TX,USA,0.0,0.0,0.0
50,50,50,50,50,0F4,Loup City Municipal,Loup City,NE,USA,0.0,0.0,22.0
51,51,51,51,51,0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,0.0,0.0,0.0
52,52,52,52,52,0F8,William R Pogue Municipal,Sand Springs,OK,USA,0.0,0.0,0.0
53,53,53,53,53,0F9,Tishomingo Airpark,Tishomingo,OK,USA,0.0,0.0,0.0
54,54,54,54,54,0G0,North Buffalo Suburban,Lockport,NY,USA,0.0,0.0,0.0
55,55,55,55,55,0G3,Tecumseh Municipal,Tecumseh,NE,USA,0.0,0.0,17.0
56,56,56,56,56,0G6,Williams County,Bryan,OH,USA,41.46736111,-84.50655556,0.0
57,57,57,57,57,0G7,Finger Lakes Regional,Seneca Falls,NY,USA,0.0,0.0,0.0
58,58,58,58,58,0H1,Trego Wakeeney,Wakeeney,KS,USA,0.0,0.0,0.0
59,59,59,59,59,0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,0.0,0.0,0.0
60,60,60,60,60,0J0,Abbeville Municipal,Abbeville,AL,USA,0.0,0.0,0.0
61,61,61,61,61,0J4,Florala Municipal,Florala,AL,USA,0.0,0.0,0.0
62,62,62,62,62,0J6,Headland Municipal,Headland,AL,USA,0.0,0.0,0.0
63,63,63,63,63,0K7,Humboldt Municipal,Humboldt,IA,USA,42.7360825,-94.24524167,0.0
64,64,64,64,64,0L5,Goldfield,Goldfield,NV,USA,37.71798833,-117.2384119,0.0
65,65,65,65,65,0L7,Jean,Jean,NV,USA,35.76827222,-115.3296378,0.0
66,66,66,66,66,0L9,Echo Bay,Overton,NV,USA,0.0,0.0,0.0
