,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,X,Y,class
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.54398624866998,19.72736245680459,class1
1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.5774801934256,26.78930428468186,class1
2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,71.40789988361244,23.555343212187015,class1
3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,85.68851972313134,27.93332436662945,class1
4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,68.67112036433272,29.01645785168869,class1
5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,64.97696602322894,21.728698269592435,class1
6,6,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,78.0182852337792,29.247307996217888,class1
7,7,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,88.08546935357393,27.687861964510443,class1
8,8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,105.75932629386432,33.183819393761674,class1
9,9,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,94.51278427989722,30.398112216280534,class1
10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,77.37026269607061,27.963078804220793,class1
11,11,11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,81.87385135493557,26.894267213307486,class1
12,12,12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,73.95188763100282,28.964487317992948,class1
13,13,13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,86.10590414234449,34.26251589996842,class1
14,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,80.11985362848993,22.416212507437393,class1
15,15,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,76.16184189570858,35.745441559090466,class1
16,16,16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,75.9813547317873,22.170112365457406,class1
17,17,17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,76.94273100750151,20.170436826224275,class1
18,18,18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,86.65324692480084,35.441858936063255,class1
19,19,19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,66.44164501541103,29.62977073627654,class1
20,20,20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,83.22525895894763,25.532152782599503,class1
21,21,21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,73.99902343222418,37.54142297251992,class1
22,22,22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,83.32618125024476,15.366734553655,class1
23,23,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,64.37156660286651,36.85549029822069,class1
24,24,24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,80.56710017460378,21.561735431808422,class1
25,25,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,83.36751800480688,33.103571525014495,class1
26,26,26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,73.01252908909973,13.403247093116786,class1
27,27,27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,72.44162069532824,23.723809262130967,class1
28,28,28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,66.66207096760543,23.505360799432626,class1
29,29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,83.17675647795384,30.52482019523416,class1
30,30,30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,75.8476602413083,37.07728175046642,class1
31,31,31,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,94.35566397343851,18.04107743708078,class1
32,32,32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,87.22451031163658,29.97152288006247,class1
33,33,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,78.81174607183317,27.00240388805524,class1
34,34,34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,76.43537919936665,34.4302179055903,class1
35,35,35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,88.36194580952186,42.49733901575395,class1
36,36,36,36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,77.63920209343385,43.69348701040455,class1
37,37,37,37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,80.51346590730212,31.59520668396351,class1
38,38,38,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,81.28304613953834,35.54705262118308,class1
39,39,39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,95.94982889945021,40.10339675450634,class1
40,40,40,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,85.52407671906529,23.61936368710955,class1
41,41,41,41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,80.98491322214943,24.38741229015269,class1
42,42,42,42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,80.15692489917437,30.792338033203706,class1
43,43,43,43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,89.19503307599012,31.583882967417562,class1
44,44,44,44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,92.86997082487724,32.55957396507943,class1
45,45,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,72.43201426361884,30.075326441904437,class1
46,46,46,46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,74.34010267158148,36.729714799456474,class1
47,47,47,47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,71.37508165431052,25.981756703873756,class1
48,48,48,48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,89.41563208365376,27.506192090172576,class1
49,49,49,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,69.16611719740892,32.48677258215644,class1
50,50,50,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,76.57702298801027,24.637300237745983,class1
51,51,51,51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,61.125373713246134,38.17269343079388,class1
52,52,52,52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,104.3138392310003,23.97999019704283,class1
53,53,53,53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,74.28149806944155,36.76930065259684,class1
54,54,54,54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,67.04232853617532,29.06089790004558,class1
55,55,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,79.03861225226788,40.02332503959105,class1
56,56,56,56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,79.49066903391636,29.435662235855457,class1
57,57,57,57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,82.21481221469915,24.03812137073757,class1
58,58,58,58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,94.22049620796471,33.450951913487,class1
59,59,59,59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,79.71655387212918,19.62675552674876,class1
60,60,60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,65.6837318371946,25.275465112340875,class1
61,61,61,61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,83.6058065149874,11.435203388427556,class1
62,62,62,62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,85.08284998496856,35.50968105611552,class1
63,63,63,63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,68.09152971732016,30.418110595697897,class1
64,64,64,64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,91.15228145821004,25.419594141574805,class1
65,65,65,65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,79.83317211832684,46.20549667237057,class1
66,66,66,66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,85.51459783116151,35.20754423682047,class1
67,67,67,67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,79.96042443688042,40.9564522901081,class1
68,68,68,68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,82.65942148925222,25.431978548371877,class1
69,69,69,69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,76.39926215240676,30.853560856500902,class1
70,70,70,70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,84.3613840053592,36.09620482356014,class1
71,71,71,71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,92.68693379956258,32.40102308642214,class1
72,72,72,72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,74.61481910739026,19.837643784798498,class1
73,73,73,73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,70.00417004703007,36.54108188755775,class1
74,74,74,74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,99.13166450156534,35.28976340075295,class1
75,75,75,75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,102.68313486667026,48.23193218994594,class1
76,76,76,76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,79.03708016251794,25.44620242862225,class1
77,77,77,77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,74.02398823272841,29.365015726809794,class1
78,78,78,78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,81.5523987621725,29.59089893575993,class1
79,79,79,79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,97.88236824496329,30.239749165839953,class1
80,80,80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,82.467885270077,34.295103711534175,class1
81,81,81,81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,77.21082738859856,39.61215193151837,class1
82,82,82,82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.39350550148993,20.799799499408458,class1
83,83,83,83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,74.98876798743055,34.954652517412356,class1
84,84,84,84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,88.35285927663317,20.30307484647374,class1
85,85,85,85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,78.41517981016699,44.165786869482226,class1
86,86,86,86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,85.10998312389272,38.811603438741734,class1
87,87,87,87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,67.1797039388036,46.5469706089177,class1
88,88,88,88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,60.944175922656015,23.699328721770026,class1
