,Unnamed: 0,xDom,yDom,class
0,0.0,55.0879552146,64.454300018,A
1,1.0,78.427022143,12.5070732568,A
2,2.0,62.5008351062,31.4250332454,C
3,3.0,31.2951511904,101.3809385861,A
4,4.0,34.3389941778,47.0610171709,B
5,5.0,46.0495187255,36.6010376588,B
6,6.0,40.0926398295,92.3000515527,A
7,7.0,30.9665511699,17.1400442094,C
8,8.0,29.1188961661,8.5397270482,B
9,9.0,48.1815417151,52.2392925706,C
10,10.0,43.1163786476,53.1107402824,B
11,11.0,88.7854403713,29.454325448,A
12,12.0,82.3630540732,4.9736515364,A
13,13.0,47.3494357709,35.0368442448,B
14,14.0,19.9225055418,-8.0858946778,B
15,15.0,99.0668360223,29.3230847335,C
16,16.0,67.8212257803,37.5020627073,C
17,17.0,28.1199586994,95.8183485763,A
18,18.0,52.5004492986,60.5243655812,B
19,19.0,34.0687560221,76.89417319,A
20,20.0,72.2752276162,26.6494383911,C
21,21.0,40.9548005354,93.4886819294,A
22,22.0,83.6139874655,10.6356242743,B
23,23.0,47.8939918755,82.9460994404,A
24,24.0,115.5718166827,23.4731614237,B
25,25.0,86.4909537348,52.6413419637,C
26,26.0,38.8402253958,114.3688941088,B
27,27.0,31.3672638795,42.976901159,C
28,28.0,6.3522339349,21.7967363038,B
29,29.0,-6.9761262579,19.3980699712,C
30,30.0,109.4288631391,19.1634616137,C
31,31.0,89.4851770567,34.8108704069,B
32,32.0,116.6648107362,33.8963542254,C
33,33.0,60.8322710264,26.2983183983,B
34,34.0,15.3309566734,81.4566940628,A
35,35.0,98.5542211843,41.8408621189,C
36,36.0,38.2461143531,62.4484328829,A
37,37.0,24.5591234375,31.5086074384,B
38,38.0,39.7168335148,37.6381542222,B
39,39.0,100.1689631199,14.3021918275,A
40,40.0,46.7131638793,51.819645258,C
41,41.0,42.126943829,30.8674172412,C
42,42.0,19.0837867098,46.5172609747,A
43,43.0,43.888343214,44.825804396,B
44,44.0,35.4968010805,42.5259865896,C
45,45.0,77.310431359,25.0665139193,C
46,46.0,32.3195955062,46.9897743211,B
47,47.0,43.0225996123,30.8129227246,B
48,48.0,85.1973710802,8.7998419495,A
49,49.0,40.0272984048,88.3554968394,A
50,50.0,17.805949281,93.2473918188,B
51,51.0,18.1956627821,9.1207975119,B
52,52.0,41.8682878554,74.4180141138,B
53,53.0,6.8557251884,12.9623390721,B
54,54.0,52.5020321068,115.9488799912,B
55,55.0,70.9666344203,13.0970375406,C
56,56.0,79.0032814602,93.3820351246,B
57,57.0,3.8162906069,29.0498675956,B
58,58.0,73.9569426927,19.3207498601,C
59,59.0,29.8469334448,0.935901735,B
60,60.0,38.2548506832,91.3849035283,B
61,61.0,18.6131689032,75.5919604932,C
62,62.0,86.130796664,2.9787197502,C
63,63.0,45.9918979554,112.2356711693,A
64,64.0,81.7718104743,54.6949112439,C
65,65.0,29.1382311594,59.9003647215,A
66,66.0,2.6483569855,10.2923013824,A
67,67.0,88.8397457782,8.6444169151,C
68,68.0,34.2821999471,11.3634208907,A
69,69.0,59.4716192582,109.0568026505,C
70,70.0,82.3471165815,8.9774875001,C
71,71.0,61.6392647566,87.6074932866,A
72,72.0,108.9579342966,47.1990996403,B
73,73.0,65.0861172483,38.5740712053,B
74,74.0,113.4530263601,31.4986128924,C
75,75.0,49.5204684408,49.9949828589,A
76,76.0,50.2476634988,59.8126061844,B
77,77.0,76.706261558,90.4343105137,A
78,78.0,29.5467293055,36.6856369543,B
79,79.0,75.6745856945,94.2362634901,A
80,80.0,58.9863255832,68.1848815843,A
81,81.0,30.1662386796,107.3661253842,A
82,82.0,32.0286092195,42.1133418063,A
83,83.0,77.6590280447,28.6870700445,B
84,84.0,65.1140510428,67.1595674266,A
85,85.0,85.3003813719,34.3964589825,C
86,86.0,55.6442042499,21.0106605596,A
87,87.0,54.5343550307,73.4083643622,A
88,88.0,4.7145886412,35.2701542588,A
89,89.0,75.4613628329,82.238624627,A
90,90.0,61.4028619815,70.8153459683,A
91,91.0,75.4534180358,38.3434302076,A
92,92.0,98.3117943392,54.3174003537,C
93,93.0,81.5323765381,26.6035977211,C
94,94.0,84.4414264254,56.1930795622,C
95,95.0,85.0087744885,36.8040807228,C
96,96.0,35.6924875843,4.3216247816,B
97,97.0,9.6547334048,-5.2188364411,B
98,98.0,106.8336134924,40.7243996574,C
99,99.0,-1.8450862036,36.2195575862,B
100,100.0,82.8851643208,96.9810360889,A
101,101.0,85.2394986401,56.2358130976,C
102,102.0,28.6093089497,8.882940594,B
103,103.0,99.744999993,44.3735768774,C
104,104.0,95.0477110425,51.0308303415,B
105,105.0,39.164541305,37.5133466661,C
106,106.0,22.0462645992,44.349214124,B
107,107.0,23.5236695489,-3.9388106629,B
108,108.0,27.5760259006,-2.4180063945,B
109,109.0,78.6281581473,25.2852261263,A
110,110.0,18.3690763122,57.2897552964,B
111,111.0,48.9332857557,102.9634448456,C
112,112.0,88.987678437,55.9876409456,C
113,113.0,70.2888338417,60.6747596598,A
114,114.0,39.2306983448,88.4406651322,C
115,115.0,85.8272256702,31.64737817,C
116,116.0,86.6228733357,55.6521357135,A
117,117.0,44.6286841721,-2.8951896498,B
118,118.0,44.4166185219,92.739751382,A
119,119.0,108.6458000014,28.5451032589,C
120,120.0,85.3567468672,29.0711195662,B
121,121.0,42.7966270871,113.4805170271,C
122,122.0,70.1669112908,23.1514132167,A
123,123.0,55.063599795,53.1378736666,A
124,124.0,51.7459632636,113.3702945379,B
125,125.0,7.1620121533,47.3417587887,B
126,126.0,24.5605556628,2.1791869699,A
127,127.0,99.0472848516,38.8218024119,C
128,128.0,37.6667172077,79.4058082799,A
129,129.0,40.2219883299,92.6689522568,A
130,130.0,26.8335264711,92.6142945775,A
131,131.0,42.3229864472,-3.0005888543,B
132,132.0,50.8157169673,0.5828281575,A
133,133.0,6.7207521864,49.3740925494,B
134,134.0,57.1853675246,99.2274238044,B
135,135.0,34.3294679983,1.0982691959,A
136,136.0,28.9375506068,108.9583523752,A
137,137.0,53.8982554379,35.5237181502,B
138,138.0,8.5462634944,23.1167199182,B
139,139.0,85.8343206071,54.5609557509,C
140,140.0,26.5971982003,12.7004759151,C
141,141.0,14.1045624875,87.5686033873,A
142,142.0,36.7653800655,11.8843292957,B
143,143.0,24.4898183287,65.1794855822,A
144,144.0,77.5071565844,77.9025417115,A
145,145.0,23.6771145183,98.5523554228,A
146,146.0,48.5934758171,51.9517933368,A
147,147.0,66.5072592097,85.458723357,A
148,148.0,88.6208455555,49.8026012839,C
149,149.0,60.8815319665,91.275372336,A
