Date,Share,Type
1,6.3,C/C++
2,6.52,C/C++
3,6.710000000000000,C/C++
4,6.68,C/C++
5,6.65,C/C++
6,6.64,C/C++
7,6.6000000000000000,C/C++
8,6.5,C/C++
9,6.68,C/C++
10,6.99,C/C++
11,6.99,C/C++
12,7.01,C/C++
1,6.550000000000000,C#
2,6.78,C#
3,6.87,C#
4,6.93,C#
5,6.97,C#
6,7.04,C#
7,7.16,C#
8,6.99,C#
9,7.17,C#
10,7.380000000000000,C#
11,7.31,C#
12,7.26,C#
1,0.5600000000000000,Dart
2,0.5700000000000000,Dart
3,0.5500000000000000,Dart
4,0.5700000000000000,Dart
5,0.53,Dart
6,0.53,Dart
7,0.5500000000000000,Dart
8,0.5700000000000000,Dart
9,0.58,Dart
10,0.5500000000000000,Dart
11,0.61,Dart
12,0.65,Dart
1,1.3300000000000000,Go
2,1.26,Go
3,1.26,Go
4,1.34,Go
5,1.46,Go
6,1.48,Go
7,1.46,Go
8,1.5,Go
9,1.5700000000000000,Go
10,1.54,Go
11,1.4200000000000000,Go
12,1.35,Go
1,16.8,Java
2,16.88,Java
3,17.26,Java
4,17.53,Java
5,18.02,Java
6,18.35,Java
7,18.25,Java
8,18.27,Java
9,18.04,Java
10,18.11,Java
11,17.560000000000000,Java
12,17.82,Java
1,8.470000000000000,JavaScript
2,8.540000000000000,JavaScript
3,8.470000000000000,JavaScript
4,8.59,JavaScript
5,8.780000000000000,JavaScript
6,8.870000000000000,JavaScript
7,9.17,JavaScript
8,9.3,JavaScript
9,9.54,JavaScript
10,9.34,JavaScript
11,9.31,JavaScript
12,9.1,JavaScript
